	clep		klep	// clep.to.ma.ni.a

	cli		kli
	cli	_	'kli

	clí		'kli	// clí.ni.co, de.clí.ni.o

	clip		klip	// e.clíp.se
	clíp		'klip	// e.clíp.ti.co

	clis		klis
	clis	_	'klis
	clis	^S	kliz

fi	cit	_	sit	// dé.fi.cit

	clo		klo
	clo	_	klU

	clu		klu

	clui		kluI

	cni		kni	// cni.dá.ri.o

	co		ko
	co	_	kU

	có		'kO

%	coa	_	ku6	// pás.coa

	cós		'kOs

	cô		'ko

	coc		kok	// coc.ção

	cóc		'kOk	// cóc.cix

	cog		kog	// cog.no.me

	cóg		'kOg	// cóg.ni.to

	ço		so
	ço	_	sU

	ções	_	'so~Is

	coi		koI

	çoi		soI

	coin		koI~

	çoin		soI~

	col		kow
	col	_	'kOw

	çol	_	'sOw	// len.çol, ter.çol

	com		ko~
	com	_	'ko~

	côm		'ko~	// côm.pu.to

	çom	_	'so~	// gar.çom, ma.çom

	con		ko~
	con	_	'ko~

	côn		'ko~

	cons		ko~s
	cons	_	'ko~s

	côns		'ko~s

	cor		ko4
	cor	_	'ko4

	cop		kop
	cop	_	kOp

	cóp		'kOp

	cór		'kO4

	çor		so4	// a.çor.da
	çor	_	'so4	// a.çor

	cos		kos
	cos	_	kUs
	cos	^S	koz

	ços		sos
	ços	_	'sUs
	ços	^S	soz

	cou		koU

	çou		soU

	cra		k4a
	cra	_	k46
%	cra		k46
	cra	^[mn]	k46

	crá		'k4a

	crâ		'k46	// crâ.ni.o

	crai		k4aI	// la.crai.a

	cras		'k4as

	crar	_	'k4a4	// lu.crar, mas.sa.crar

	cre		k4e
	cre	_	k4I

	cré		'k4E	// in.cré.du.lo

%	crea	_	k4i6	//
%	creas	_	k4i6s	// pân.creas

	crei		k4eI
	crei	_	'k4eI

	cren		k4e~
	cren	_	'k4e~

	crer	_	'k4e4	// des.crer

	cres		k4es
	cres	_	k4Is
	cres	^S	k4ez

	crés		'k4Es	// a.crés.ci.mo

	cri		k4i
	cri	_	'k4i

	crí		'k4i

	crim	_	'k4i~	// a.le.crim

	crip		k4ip	// crip.ta

	cris		k4is
	cris	_	'k4is
	cris	^S	k4iz

	cro		k4o
	cro	_	k4U

	cró		'k4O	// mi.cró.bio

	crô		'k4o	// crô.ni.ca

	cróp		'k4Op	// ne.crop.si.a

	cror		k4o4
	cror	_	'k4o4

	cros		k4os
	cros	_	k4Us
	croz	^S	k4oz

	crós		'k4Os	// a.crós.ti.co

	cru		k4u	// pers.cru.tar
	cru	_	'k4u

	crú		'k4u	// es.crú.pu.lo

	crus		k4us	// crus.tá.ce.o
	crus	_	'k4us
	crus	^S	kruz

_	cruz	_	'k4us	// cruz

	cu		ku
	cu	_	'ku

%	cua	_	ku6	// i.nó.cua

	cú		'ku

	çu		su
	çu	_	'su

	çú		'su

	çul		suw	// mu.çul.ma.no

	cui		kuI

	cul		kuw

	cum		ku~	// cum.prir
	cum	_	'ku~

	cúm		'ku~	// cúm.pli.ce

	cun		ku~
	cun	_	'ku~

	cún		'ku~	// fa.cún.di.a

	cuns		ku~s
	cuns	_	'ku~s

%	cuo	_	kuU	// i.nó.cuo, vá.cuo

	cur		ku4
	cur	_	'ku4

	cúr		'ku4	// cúr.cu.ma

	cus		kus
	cus	_	'kus
	cus	^S	kuz

	cús		'kus
	cús	^S	'kuz

	cuz	_	'kus	// cus.cuz

	çuz	_	'sus

	cza		kza	// cza.ri.na

	czar		kza4	// czar.da

	da		da
	da	_	d6
%	da		d6
	da	^[mn]	d6

	dá		'da

	dâ		'd6	// jor.dâ.ni.o

	dã	_	'd6~	// ba.lan.gan.dã

	dác		'dak	// ar.ti.o.dác.ti.lo

	dai		daI

	dais		daIs

	dal		daw
	dal	_	'daw

	dál		'daw

	dam		d6~
	dam	_	d6~U

	dan		d6~
	dan	_	'd6~

	dân		'd6~

	dão		'd6~U	// cidadão
%	dão	_	d6~U	// acórdão

	dãos		'd6~Us	// cidadãos
%	dãos	_	d6~Us	// acórdãos

	dap		dap

	dar		da4
	dar	_	'da4

	das		das
	das	_	d6s
	das	^S	daz

_	das	_^V	d6z	// <das a.mi.gas> -> [dəz a.'mi.gəs]

	dás		'das

	dau		daU	// a.mon.dau.a

	daz	_	'das

	de		de
	de	_	dZI

	dé		'dE

	dê		'de

%	dea	_	dZi6	// lên.dea, or.quí.dea, ré.dea

	dei		deI
	dei	_	'deI

	deis		deIs	// deis.cên.ci.a
	deis	_	'deIs

	del		dew
	del	_	'dEw

	dem		de~
	dem	_	de~I	// an.dem

	dém	_	'de~I	// des.dém

	den		de~
%	den	_	de~I	// é.den

	dên		'de~

	deo		deo	// vi.deo.cas.se.te, vi.deo.cli.pe ???
%	deo	_	dZiU	// a.na.tí.deo, vi.deo

	dep		dep

	der		de4
	der	_	'de4

