$ paste ~/ista.a.txt ~/ista.b.txt | awk '{ print $1, $2, $4}'

bairrista	bˌaixˈistɐ	bˌaixˈistɐ
baixista	bˌaɪʃˈistɐ	bˌaɪʃˈistɐ
balconista	bˌaʊkonˈistɐ	bˌaʊkonˈistɐ
balista	bˌalˈistɐ	bˌalˈistɐ
bananista	bˌɐnɐnˈistɐ	bˌɐnɐnˈistɐ
bandeirista	bˌɐ̃ndeɪɾˈistɐ	bˌɐ̃ndeɪɾˈistɐ
bandolinista	bˌɐ̃ndolinˈistɐ	bˌɐ̃ndolinˈistɐ
banhista	bˌɐ̃ɲˈistɐ	bˌɐ̃ɲˈistɐ
barrista	bˌaxˈistɐ	bˌaxˈistɐ
basebolista	bˌazebolˈistɐ	bˌeɪzɪbɔlˈistɐ
basista	bˌazˈistɐ	bˌazˈistɐ
basquetebolista	bˌasketˌebolˈistɐ	bˌasketˌebolˈistɐ
baterista	bˌateɾˈistɐ	bˌateɾˈistɐ
batista	bˌatʃˈistɐ	bˌatʃˈistɐ
Batista	bˌatʃˈistɐ	bˌatʃˈistɐ
behaviorista	bˌeavˌioɾˈistɐ	bˌɪheɪvˌioɾˈistɐ
belicista	bˌelisˈistɐ	bˌelisˈistɐ
benfiquista	bˌeɪnfikˈistɐ	bˌeɪnfikˈistɐ
biblista	bˌiblˈistɐ	bˌiblˈistɐ
bilharista	bˌiʎaɾˈistɐ	bˌiʎaɾˈistɐ
biografista	bˌioɡɾafˈistɐ	bˌioɡɾafˈistɐ
biologista	bˌioloʒˈistɐ	bˌioloʒˈistɐ
bioterrorista	bˌiotˌexoɾˈistɐ	bˌiotˌexoɾˈistɐ
bloquista	blˌokˈistɐ	blˌokˈistɐ
Boavista	bˌoavˈistɐ	bˌoavˈistɐ
bolchevista	bˌowʃevˈistɐ	bˌowʃevˈistɐ
bolsista	bˌowsˈistɐ	bˌowsˈistɐ
bombista	bˌõmbˈistɐ	bˌõmbˈistɐ
bonapartista	bˌonapaɾtʃˈistɐ	bˌonapaɾtʃˈistɐ
Bonapartista	bˌonapaɾtʃˈistɐ	bˌonapaɾtʃˈistɐ
borguista	bˌoɾɡˈistɐ	bˌoɾɡˈistɐ
borlista	bˌoɾlˈistɐ	bˌoɾlˈistɐ
boxista	bˌoksˈistɐ	bˌoksˈistɐ
bramista	bɾˌɐmˈistɐ	bɾˌɐmˈistɐ
bronzista	bɾˌõnzˈistɐ	bɾˌõnzˈistɐ
budista	bˌudʒˈistɐ	bˌudʒˈistɐ
bulista	bˌulˈistɐ	bˌulˈistɐ
burlista	bˌuɾlˈistɐ	bˌuɾlˈistɐ
cabalista	kˌabalˈistɐ	kˌabalˈistɐ
Cabralista	kˌabɾalˈistɐ	kˌabɾalˈistɐ
caciquista	kˌasikˈistɐ	kˌasikˈistɐ
caixista	kˌaɪʃˈistɐ	kˌaɪʃˈistɐ
calculista	kˌaʊkulˈistɐ	kˌaʊkulˈistɐ
calista	kˌalˈistɐ	kˌalˈistɐ
calvinista	kˌaʊvinˈistɐ	kˌaʊvinˈistɐ
Calvinista	kˌaʊvinˈistɐ	kˌaʊvinˈistɐ
cambista	kˌɐ̃mbˈistɐ	kˌɐ̃mbˈistɐ
camilianista	kˌɐmilˌiɐnˈistɐ	kˌɐmilˌiɐnˈistɐ
Camilista	kˌɐmilˈistɐ	kˌɐmilˈistɐ
camionista	kˌɐmjonˈistɐ	kˌɐmjonˈistɐ
camonianista	kˌɐmonˌiɐnˈistɐ	kˌɐmonˌiɐnˈistɐ
campista	kˌɐ̃mpˈistɐ	kˌɐ̃mpˈistɐ
cancionista	kˌɐ̃nsjonˈistɐ	kˌɐ̃nsjonˈistɐ
cançonetista	kˌɐ̃nsonetʃˈistɐ	kˌɐ̃nsonetʃˈistɐ
canonista	kˌɐnonˈistɐ	kˌɐnonˈistɐ
capelista	kˌapelˈistɐ	kˌapelˈistɐ
capitalista	kˌapitalˈistɐ	kˌapitalˈistɐ
capoeirista	kˌapoeɪɾˈistɐ	kˌapoeɪɾˈistɐ
cardiologista	kˌaɾdʒiˌoloʒˈistɐ	kˌaɾdʒiˌoloʒˈistɐ
caricaturista	kˌaɾikˌatuɾˈistɐ	kˌaɾikˌatuɾˈistɐ
carlista	kˌaɾlˈistɐ	karlˈistɐ
carteirista	kˌaɾteɪɾˈistɐ	kˌaɾteɪɾˈistɐ
cartoonista	kˌaɾtoonˈistɐ	kˌaɾtoonˈistɐ
cartunista	kˌaɾtunˈistɐ	kˌaɾtunˈistɐ
casualista	kˌazualˈistɐ	kˌazualˈistɐ
catequista	kˌatekˈistɐ	kˌatekˈistɐ
Cavaquista	kˌavakˈistɐ	kˌavakˈistɐ
censualista	sˌeɪnsualˈistɐ	sˌeɪnsualˈistɐ
centralista	sˌeɪntɾalˈistɐ	sˌeɪntɾalˈistɐ
centrista	sˌeɪntɾˈistɐ	sˌeɪntɾˈistɐ
ceramista	sˌeɾɐmˈistɐ	sˌeɾɐmˈistɐ
cesarista	sˌezaɾˈistɐ	sˌezaɾˈistɐ
chantagista	ʃˌɐ̃ntaʒˈistɐ	ʃˌɐ̃ntaʒˈistɐ
charadista	ʃˌaɾadʒˈistɐ	ʃˌaɾadʒˈistɐ
chargista	ʃˌaɾʒˈistɐ	ʃˌaɾʒˈistɐ
chauvinista	ʃˌaʊvinˈistɐ	ʃˌaʊvinˈistɐ
chulista	ʃˌulˈistɐ	ʃˌulˈistɐ
chupista	ʃˌupˈistɐ	ʃˌupˈistɐ
ciberterrorista	sˌibeɾtˌexoɾˈistɐ	sˌibeɾtˌexoɾˈistɐ
ciclista	sˌiklˈistɐ	sˌiklˈistɐ
ciclomotorista	sˌiklomˌotoɾˈistɐ	sˌiklomˌotoɾˈistɐ
cientista	sˌieɪntʃˈistɐ	sˌieɪntʃˈistɐ
cigarrista	sˌiɡaxˈistɐ	sˌiɡaxˈistɐ
cineclubista	sˌineklubˈistɐ	sˌineklubˈistɐ
cinefilista	sˌinefilˈistɐ	sˌinefilˈistɐ
cinzentista	sˌĩnzeɪntʃˈistɐ	sˌĩnzeɪntʃˈistɐ
citarista	sˌitaɾˈistɐ	sˌitaɾˈistɐ
civilista	sˌivilˈistɐ	sˌivilˈistɐ
claquista	klˌakˈistɐ	klˌakˈistɐ
clarinetista	klˌaɾinetʃˈistɐ	klˌaɾinetʃˈistɐ
classicista	klˌasisˈistɐ	klˌasisˈistɐ
classista	klˌasˈistɐ	klˌasˈistɐ
clericalista	klˌeɾikalˈistɐ	klˌeɾikalˈistɐ
climatologista	klˌimatˌoloʒˈistɐ	klˌimatˌoloʒˈistɐ
clubista	klˌubˈistɐ	klˌubˈistɐ
coexista	kˌoezˈistɐ	kˌoezˈistɐ
cognitivista	kˌoɡnitʃivˈistɐ	kˌoɡnitʃivˈistɐ
colaboracionista	kˌolabˌoɾasjonˈistɐ	kˌolabˌoɾasjonˈistɐ
colecionista	kˌolesjonˈistɐ	kˌolesjonˈistɐ
coletivista	kˌoletʃivˈistɐ	kˌoletʃivˈistɐ
colonialista	kˌolonˌialˈistɐ	kˌolonˌialˈistɐ
colonista	kˌolonˈistɐ	kˌolonˈistɐ
colunista	kˌolunˈistɐ	kˌolunˈistɐ
comentarista	kˌomeɪntaɾˈistɐ	kˌomeɪntaɾˈistɐ
comercialista	kˌomeɾsˌialˈistɐ	kˌomeɾsˌialˈistɐ
comissionista	kˌomisjonˈistɐ	kˌomisjonˈistɐ
comodista	kˌomodʒˈistɐ	kˌomodʒˈistɐ
comunista	kˌomunˈistɐ	kˌomunˈistɐ
conceptista	kˌõnseptʃˈistɐ	kˌõnseptʃˈistɐ
conceptualista	kˌõnseptˌualˈistɐ	kˌõnseptˌualˈistɐ
concertista	kˌõnseɾtʃˈistɐ	kˌõnseɾtʃˈistɐ
concetista	kˌõnsetʃˈistɐ	kˌõnsetʃˈistɐ
concetualista	kˌõnsetˌualˈistɐ	kˌõnsetˌualˈistɐ
conclavista	kˌõŋklavˈistɐ	kˌõŋklavˈistɐ
concursista	kˌõŋkuɾsˈistɐ	kˌõŋkuɾsˈistɐ
conferencista	kˌõnfeɾeɪnsˈistɐ	kˌõnfeɾeɪnsˈistɐ
conformista	kˌõnfoɾmˈistɐ	kˌõnfoɾmˈistɐ
congregacionista	kˌõŋɡɾeɡˌasjonˈistɐ	kˌõŋɡɾeɡˌasjonˈistɐ
congressista	kˌõŋɡɾesˈistɐ	kˌõŋɡɾesˈistɐ
conquista	kˌõŋkˈistɐ	kˌõŋkˈistɐ
Conquista	kˌõŋkˈistɐ	kˌõŋkˈistɐ
conservacionista	kˌõnseɾvˌasjonˈistɐ	kˌõnseɾvˌasjonˈistɐ
conservantista	kˌõnseɾvɐ̃ntʃˈistɐ	kˌõnseɾvɐ̃ntʃˈistɐ
consista	kˌõnsˈistɐ	kˌõnsˈistɐ
constitucionalista	kˌõnstʃitˌusjonalˈistɐ	kˌõnstʃitˌusjonalˈistɐ
construtivista	kˌõnstɾutʃivˈistɐ	kˌõnstɾutʃivˈistɐ
consumista	kˌõnsumˈistɐ	kˌõnsumˈistɐ
contabilista	kˌõntabilˈistɐ	kˌõntabilˈistɐ
contista	kˌõntʃˈistɐ	kˌõntʃˈistɐ
contorcionista	kˌõntoɾsjonˈistɐ	kˌõntoɾsjonˈistɐ
contrabaixista	kˌõntɾabaɪʃˈistɐ	kˌõntɾabaɪʃˈistɐ
contrabandista	kˌõntɾabɐ̃ndʒˈistɐ	kˌõntɾabɐ̃ndʒˈistɐ
contrapontista	kˌõntɾapõntʃˈistɐ	kˌõntɾapõntʃˈistɐ
contrista	kˌõntɾˈistɐ	kˌõntɾˈistɐ
controversista	kˌõntɾoveɾsˈistɐ	kˌõntɾoveɾsˈistɐ
convencionalista	kˌõnveɪnsjˌonalˈistɐ	kˌõnveɪnsjˌonalˈistɐ
cooperativista	kˌoopˌeɾatʃivˈistɐ	kˌoopˌeɾatʃivˈistɐ
copista	kˌopˈistɐ	kˌopˈistɐ
corista	kˌoɾˈistɐ	kˌoɾˈistɐ
corporativista	kˌoɾpoɾˌatʃivˈistɐ	kˌoɾpoɾˌatʃivˈistɐ
correntista	kˌoxeɪntʃˈistɐ	kˌoxeɪntʃˈistɐ
