Aarão	,aa*'&U~
Areiópolis	,a*eI;'Opolis
Arenápolis	,a*en'apolis
Arenópolis	,a*en'Opolis
Areópago	,a*e'Op&gU
Argel	a*@-Z'EU
Argentina	,a*@-ZeINtS'in&
Argirita	,a*@-Zi*'it&
Argos	'a*@-gUs
Argélia	,a*@-Z'Elj&
Ariadne	,a*i;'adny
Aricanduva	,a*ik&~Nd'uv&
Arinos	,a*'inUs
Aripuanã	,a*ip,u&~n'&~
Ariquemes	,a*ik'emys
Ariranha	,a*i*'&~n^&
Aristarco	,a*ist'a*@-kU
Aristides	,a*istS'idZys
Aristófanes	,a*ist'Of&nys
Aristóteles	,a*ist'Otelys
Arizona	,a*iz'on&
Arlindo	,a*@-l'iNdU
Armando	,a*@-m'&~NdU
Armazém	,a*@-maz'eIN
Armação	,a*@-mas'&U~
Armênia	,a*@-m'enj&
Arneiroz	,a*@-neI*'Os
Aroazes	,a*o'azys
Aroeiras	,a*o'eI*&s
Arraial	,axaI;'aU
Arraias	,ax'aI;&s
Arroio	,ax'oIU
Arroios	,ax'oIUs
Artaxerxes	,a*@-taks'e*@-Sys
Artur	a*@-t'ur
Aruanã	,a*u&~n'&~
Aruba	,a*'ub&
Arujá	,a*uZ'a
Arvoredo	,a*@-vo*'edU
Arvorezinha	,a*@-vo*ez'in^&
Arábia	,a*'abj&
Arês	a*'es
Ascurra	,ask'ux&
Asmara	,azm'a*&
Aspásia	,asp'azj&
Assaré	,asa*'E
Assaí	,asa'i
Assis	as'is
Assuero	,asu'e*U
Assunção	,asu~Ns'&U~
Astolfo	,ast'owfU
Astorga	,ast'O*@-g&
Ata	'at&
Atalaia	,atal'aI;&
Atalanta	,atal'&~Nt&
Ataléia	,atal'EI&
Atanásio	,at&n'azjU
Atenas	,at'en&s
Atibaia	,atSib'aI;&
Atilio	,atSil'iU
Augustinópolis	,aUgustSin'Opolis
Augusto	,aUg'ustU
Aulete	,aUl'EtSy
Aureliana	,aU*eli;'&~n&
Aureliano	,aU*eli;'&~nU
Aurelino	,aU*el'inU
Auriflama	,aU*ifl'&~m&
Aurilândia	,aU*il'&~NdZj&
Aurora	,aU*'O*&
Aurélia	,aU*'Elj&
Aurélio	,aU*'EljU
Ausentes	,aUz'eINtSys
Austrália	,aUstR'alj&
Autazes	,aUt'azys
Avanhandava	,av&~n^&~Nd'av&
Avaré	,ava*'E
Avaí	,ava'i
Aveiro	,av'eI*U
Avelino	,avel'inU
Avelinópolis	,avelin'Opolis
Aventureiro	,aveINtu*'eI*U
Averróis	,avex'OIs
Avicena	,avis'en&
Avinhão	,avin^'&U~
Axixá	,aSiS'a
Ayres	'aI*ys
Azeitão	,azeIt'&U~
Azerbaijão	,aze*@-baIZ'&U~
Azevedo	,azev'edU
Azul	az'uw
Açailândia	,asaIl'&~NdZj&
Açores	,as'o*ys
Açu	as'u
Açucena	,asus'en&
Açúcar	,as'ukar
Baal	ba'aU
Baamas	b,a'&~m&s
Babaçulândia	b,abasul'&~NdZj&
Babel	bab'EU
Bacabal	b,akab'aU
Bacabeira	b,akab'eI*&
Bacamarte	b,ak&m'a*@-tSy
Bacelar	b,asel'ar
Baco	b'akU
Bacuri	b,aku*'i
Bacurituba	b,aku*it'ub&
Badaró	b,ada*'O
Bady	b'adi
Baependi	b,aepeINdZ'i
Bagdade	b,agd'adZy
Bagdá	bagd'a
Bagre	b'agRy
Bagé	baZ'E
Bahamas	b,ax'&~m&s
Bahia	b,a'i;&
Bahrein	b,aRe'in
Baianópolis	b,aI;&n'Opolis
Baical	baIk'aU
Baixa	b'aIS&
Baixio	baIS'iU
Baixo	b'aISU
Baixos	b'aISUs
Baião	baI;'&U~
Baku	bak'u
Balaão	b,ala'&U~
Balbinos	b,aUb'inUs
Baldim	baUdZ'iN
Baleares	b,ale'a*ys
Baliza	b,al'iz&
Balneário	b,aUne'a*jU
Balsa	b'aUs&
Balsas	b'aUs&s
Baltasar	b,aUtaz'ar
Bamaco	b,&m'akU
Bambuí	b&~mbw'i
