André	ɐ̃ŋdrˈɛ
Andréia	ˌɐ̃ŋdrˈɛɪæ
Andrômeda	ˌɐ̃ŋdrˈomedæ
Angatuba	ˌɐ̃ŋɡatˈubæ
Angelim	ˌɐ̃ŋʒelˈiŋ
Angelina	ˌɐ̃ŋʒelˈinæ
Angelândia	ˌɐ̃ŋʒelˈɐ̃ŋdʒjæ
Angical	ˌɐ̃ŋʒikˈaʊ
Angico	ˌɐ̃ŋʒˈikʊ
Angicos	ˌɐ̃ŋʒˈikʊs
Anglo	ˈɐ̃ŋɡlʊ
Angola	ˌɐ̃ŋɡˈɔlæ
Angra	ˈɐ̃ŋɡræ
Anguera	ˌɐ̃ŋɡˈeɾæ
Anguila	ˌɐ̃ŋɡˈilæ
Angélica	ˌɐ̃ŋʒˈɛlikæ
Anhanguera	ˌɐ̃ɲɐ̃ŋɡˈeɾæ
Anhangüera	ˌɐ̃ɲɐ̃ŋɡuˈeɾæ
Anhembi	ˌɐ̃ɲeɪmbˈi
Anhumas	ˌɐ̃ɲˈumæs
Anicuns	ˌænikˈũŋs
Anita	ˌænˈitæ
Anitápolis	ˌænitˈapolis
Anori	ˌænoɾˈi
Anselmo	ˌɐ̃ŋsˈɛʊmʊ
Anta	ˈɐ̃ŋtæ
Antananarivo	ˌɐ̃ŋtænˌænaɾˈivʊ
Antares	ˌɐ̃ŋtˈaɾys
Antas	ˈɐ̃ŋtæs
Antilhas	ˌɐ̃ŋtʃˈiljæs
Antioquia	ˌɐ̃ŋtʃiokˈiæ
Antonieta	ˌɐ̃ŋtoniˈetæ
Antonina	ˌɐ̃ŋtonˈinæ
Antonino	ˌɐ̃ŋtonˈinʊ
Antonio	ˌɐ̃ŋtˈonɪʊ
Antunes	ˌɐ̃ŋtˈunys
Antuérpia	ˌɐ̃ŋtuˈɛɾəpjæ
Antártida	ˌɐ̃ŋtˈaɾətʃidæ
Antão	ɐ̃ŋtˈɐ̃ʊ̃
Antígua	ˌɐ̃ŋtʃˈiɡwæ
Antíoco	ˌɐ̃ŋtʃˈiʊkʊ
Antônia	ˌɐ̃ŋtˈonjæ
Antônio	ˌɐ̃ŋtˈonjʊ
Antônios	ˌɐ̃ŋtˈonjʊs
Anápolis	ˌænˈapolis
Anás	ɐ̃nˈas
Anísio	ˌænˈizjʊ
Aparecida	ˌapaɾesˈidæ
Aperibé	ˌapeɾibˈɛ
Apia	ˌapˈiæ
Apiacá	ˌapiakˈa
Apiacás	ˌapiakˈas
Apiaí	ˌapiaˈi
Apicum	ˌapikˈũŋ
Apiúna	ˌapiˈunæ
Apodi	ˌapodʒˈi
Apolônio	ˌapolˈonjʊ
Aporá	ˌapoɾˈa
Aporé	ˌapoɾˈɛ
Aprazível	ˌaprazˈiveʊ
Apuarema	ˌapuaɾˈemæ
Apucarana	ˌapukaɾˈɐ̃næ
Apuiarés	ˌapuɪaɾˈɛs
Apuí	apwˈi
Aquidabã	ˌakidabˈɐ̃
Aquidauana	ˌakidaʊˈɐ̃næ
Aquiles	ˌakˈilys
Aquino	ˌakˈinʊ
Aquiraz	ˌakiɾˈas
Aquitânia	ˌakitˈɐ̃njæ
Arabutã	ˌaɾabutˈɐ̃
Aracaju	ˌaɾakaʒˈu
Aracanguá	ˌaɾakɐ̃ŋɡwˈa
Aracati	ˌaɾakatʃˈi
Aracatu	ˌaɾakatˈu
Araci	ˌaɾasˈi
Aracitaba	ˌaɾasitˈabæ
Aracoiaba	ˌaɾakoɪˈabæ
Aracruz	ˌaɾakrˈus
Aragarças	ˌaɾaɡˈaɾəsæs
Aragoiânia	ˌaɾaɡoɪˈɐ̃njæ
Aragominas	ˌaɾaɡomˈinæs
Araguacema	ˌaɾaɡwasˈemæ
Araguaia	ˌaɾaɡwˈaɪæ
Araguaiana	ˌaɾaɡwaɪˈɐ̃næ
Araguainha	ˌaɾaɡwaˈiɲæ
Araguanã	ˌaɾaɡwɐ̃nˈɐ̃
Araguapaz	ˌaɾaɡwapˈas
Araguari	ˌaɾaɡwaɾˈi
Araguatins	ˌaɾaɡwatʃˈiŋs
Araguaçu	ˌaɾaɡwasˈu
Araguaína	ˌaɾaɡwaˈinæ
Aragão	ˌaɾaɡˈɐ̃ʊ̃
Araioses	ˌaɾaɪˈɔzys
Aral	aɾˈaʊ
Aramari	ˌaɾæmaɾˈi
Arambaré	ˌaɾɐ̃mbaɾˈɛ
Arame	ˌaɾˈɐ̃my
Aramina	ˌaɾæmˈinæ
Arandu	ˌaɾɐ̃ŋdˈu
Aranha	ˌaɾˈɐ̃ɲæ
Arantina	ˌaɾɐ̃ŋtʃˈinæ
Arapeí	ˌaɾapeˈi
Arapiraca	ˌaɾapiɾˈakæ
Arapoema	ˌaɾapoˈemæ
Araponga	ˌaɾapˈoŋɡæ
Arapongas	ˌaɾapˈoŋɡæs
Araporã	ˌaɾapoɾˈɐ̃
Arapoti	ˌaɾapotʃˈi
Araputanga	ˌaɾaputˈɐ̃ŋɡæ
Arapuá	ˌaɾapwˈa
Arapuã	ˌaɾapwˈɐ̃
Araquari	ˌaɾakwaɾˈi
Arara	ˌaɾˈaɾæ
Araranguá	ˌaɾaɾɐ̃ŋɡwˈa
Araraquara	ˌaɾaɾakwˈaɾæ
Araras	ˌaɾˈaɾæs
Ararat	ˌaɾaɾˈatʃ
Ararendá	ˌaɾaɾeɪŋdˈa
Arari	ˌaɾaɾˈi
Araricá	ˌaɾaɾikˈa
Araripe	ˌaɾaɾˈipy
Araripina	ˌaɾaɾipˈinæ
Araruama	ˌaɾaɾuˈɐ̃mæ
Araruna	ˌaɾaɾˈunæ
Arataca	ˌaɾatˈakæ
Aratiba	ˌaɾatʃˈibæ
Aratuba	ˌaɾatˈubæ
Aratuípe	ˌaɾatuˈipy
Araucária	ˌaɾaʊkˈaɾjæ
Arauá	ˌaɾaʊˈa
Araxá	ˌaɾaʃˈa
Araçagi	ˌaɾasaʒˈi
Araçariguama	ˌaɾasˌaɾiɡwˈɐ̃mæ
Araças	ˌaɾˈasæs
Araçatuba	ˌaɾasatˈubæ
Araçaí	ˌaɾasaˈi
Araçoiaba	ˌaɾasoɪˈabæ
Araçu	ˌaɾasˈu
Araçuaí	ˌaɾasˌuaˈi
Araçá	ˌaɾasˈa
Araújo	ˌaɾaˈuʒʊ
Araújos	ˌaɾaˈuʒʊs
Arca	ˈaɾəkæ
Arcado	ˌaɾəkˈadʊ
Arcanjo	ˌaɾəkˈɐ̃ŋʒʊ
Arceburgo	ˌaɾəsebˈuɾəɡʊ
Archer	aɾəʃˈer
Arco	ˈaɾəkʊ
Arcos	ˈaɾəkʊs
Arcoverde	ˌaɾəkovˈeɾədʒy
Areado	ˌaɾeˈadʊ
Areal	ˌaɾeˈaʊ
Arealva	ˌaɾeˈaʊvæ
Areia	ˌaɾˈeɪæ
Areial	ˌaɾeɪˈaʊ
Areias	ˌaɾˈeɪæs
Areiópolis	ˌaɾeɪˈɔpolis
Arenápolis	ˌaɾenˈapolis
Arenópolis	ˌaɾenˈɔpolis
Areópago	ˌaɾeˈɔpæɡʊ
Argel	aɾəʒˈɛʊ
Argentina	ˌaɾəʒeɪŋtʃˈinæ
Argirita	ˌaɾəʒiɾˈitæ
Argos	ˈaɾəɡʊs
Argélia	ˌaɾəʒˈɛljæ
Ariadne	ˌaɾiˈadny
Aricanduva	ˌaɾikɐ̃ŋdˈuvæ
Arinos	ˌaɾˈinʊs
Aripuanã	ˌaɾipˌuɐ̃nˈɐ̃
Ariquemes	ˌaɾikˈemys
Ariranha	ˌaɾiɾˈɐ̃ɲæ
Aristarco	ˌaɾistˈaɾəkʊ
Aristides	ˌaɾistʃˈidʒys
Aristófanes	ˌaɾistˈɔfænys
Aristóteles	ˌaɾistˈɔtelys
Arizona	ˌaɾizˈonæ
Arlindo	ˌaɾəlˈiŋdʊ
Armando	ˌaɾəmˈɐ̃ŋdʊ
Armazém	ˌaɾəmazˈeɪŋ
Armação	ˌaɾəmasˈɐ̃ʊ̃
Armênia	ˌaɾəmˈenjæ
Arneiroz	ˌaɾəneɪɾˈɔs
Aroazes	ˌaɾoˈazys
Aroeiras	ˌaɾoˈeɪɾæs
Arraial	ˌaxaɪˈaʊ
Arraias	ˌaxˈaɪæs
Arroio	ˌaxˈoɪʊ
Arroios	ˌaxˈoɪʊs
Artaxerxes	ˌaɾətaksˈeɾəʃys
Artur	aɾətˈur
Aruanã	ˌaɾuɐ̃nˈɐ̃
Aruba	ˌaɾˈubæ
Arujá	ˌaɾuʒˈa
Arvoredo	ˌaɾəvoɾˈedʊ
Arvorezinha	ˌaɾəvoɾezˈiɲæ
Arábia	ˌaɾˈabjæ
Arês	aɾˈes
Ascurra	ˌaskˈuxæ
Asmara	ˌazmˈaɾæ
Aspásia	ˌaspˈazjæ
Assaré	ˌasaɾˈɛ
Assaí	ˌasaˈi
Assis	asˈis
Assuero	ˌasuˈeɾʊ
Assunção	ˌasũŋsˈɐ̃ʊ̃
Astolfo	ˌastˈowfʊ
Astorga	ˌastˈɔɾəɡæ
Ata	ˈatæ
Atalaia	ˌatalˈaɪæ
Atalanta	ˌatalˈɐ̃ŋtæ
Ataléia	ˌatalˈɛɪæ
Atanásio	ˌatænˈazjʊ
Atenas	ˌatˈenæs
Atibaia	ˌatʃibˈaɪæ
Atilio	ˌatʃilˈiʊ
Augustinópolis	ˌaʊɡustʃinˈɔpolis
Augusto	ˌaʊɡˈustʊ
Aulete	ˌaʊlˈɛtʃy
Aureliana	ˌaʊɾeliˈɐ̃næ
Aureliano	ˌaʊɾeliˈɐ̃nʊ
Aurelino	ˌaʊɾelˈinʊ
Auriflama	ˌaʊɾiflˈɐ̃mæ
Aurilândia	ˌaʊɾilˈɐ̃ŋdʒjæ
Aurora	ˌaʊɾˈɔɾæ
Aurélia	ˌaʊɾˈɛljæ
Aurélio	ˌaʊɾˈɛljʊ
Ausentes	ˌaʊzˈeɪŋtʃys
Austrália	ˌaʊstrˈaljæ
Autazes	ˌaʊtˈazys
Avanhandava	ˌavɐ̃ɲɐ̃ŋdˈavæ
Avaré	ˌavaɾˈɛ
Avaí	ˌavaˈi
Aveiro	ˌavˈeɪɾʊ
Avelino	ˌavelˈinʊ
Avelinópolis	ˌavelinˈɔpolis
Aventureiro	ˌaveɪŋtuɾˈeɪɾʊ
Averróis	ˌavexˈɔɪs
Avicena	ˌavisˈenæ
Avinhão	ˌaviɲˈɐ̃ʊ̃
Axixá	ˌaʃiʃˈa
Ayres	ˈaɪɾys
Azeitão	ˌazeɪtˈɐ̃ʊ̃
Azerbaijão	ˌazeɾəbaɪʒˈɐ̃ʊ̃
Azevedo	ˌazevˈedʊ
Azul	azˈuw
Açailândia	ˌasaɪlˈɐ̃ŋdʒjæ
Açores	ˌasˈoɾys
Açu	asˈu
Açucena	ˌasusˈenæ
Açúcar	ˌasˈukar
Baal	baˈaʊ
Baamas	bˌaˈɐ̃mæs
Babaçulândia	bˌabasulˈɐ̃ŋdʒjæ
Babel	babˈɛʊ
Bacabal	bˌakabˈaʊ
Bacabeira	bˌakabˈeɪɾæ
Bacamarte	bˌakæmˈaɾətʃy
Bacelar	bˌaselˈar
Baco	bˈakʊ
Bacuri	bˌakuɾˈi
Bacurituba	bˌakuɾitˈubæ
Badaró	bˌadaɾˈɔ
Bady	bˈadi
Baependi	bˌaepeɪŋdʒˈi
Bagdade	bˌaɡdˈadʒy
Bagdá	baɡdˈa
Bagre	bˈaɡry
Bagé	baʒˈɛ
Bahamas	bˌaxˈɐ̃mæs
Bahia	bˌaˈiæ
Bahrein	bˌareˈin
Baianópolis	bˌaɪænˈɔpolis
Baical	baɪkˈaʊ
Baixa	bˈaɪʃæ
Baixio	baɪʃˈiʊ
Baixo	bˈaɪʃʊ
Baixos	bˈaɪʃʊs
Baião	baɪˈɐ̃ʊ̃
Baku	bakˈu
Balaão	bˌalaˈɐ̃ʊ̃
Balbinos	bˌaʊbˈinʊs
Baldim	baʊdʒˈiŋ
Baleares	bˌaleˈaɾys
Baliza	bˌalˈizæ
Balneário	bˌaʊneˈaɾjʊ
Balsa	bˈaʊsæ
Balsas	bˈaʊsæs
Baltasar	bˌaʊtazˈar
Bamaco	bˌæmˈakʊ
Bambuí	bɐ̃mbwˈi
Banabuiú	bˌænabuɪˈu
Bananal	bˌænɐ̃nˈaʊ
Bananeiras	bˌænænˈeɪɾæs
Bandar	bɐ̃ŋdˈar
Bandeira	bˌɐ̃ŋdˈeɪɾæ
Bandeirante	bˌɐ̃ŋdeɪɾˈɐ̃ŋtʃy
Bandeirantes	bˌɐ̃ŋdeɪɾˈɐ̃ŋtʃys
Bangladeche	bˌɐ̃ŋɡladˈɛʃy
Bangladesh	bˌɐ̃ŋɡladˈɛʃ
Banguecoque	bˌɐ̃ŋɡekˈɔky
Bangui	bɐ̃ŋɡˈi
Banjul	bɐ̃ŋʒˈuw
Bannach	bɐ̃ŋnˈaʃ
Banzaê	bˌɐ̃ŋzaˈe
Barata	bˌaɾˈatæ
Baraúna	bˌaɾaˈunæ
Baraúnas	bˌaɾaˈunæs
Barbacena	bˌaɾəbasˈenæ
Barbados	bˌaɾəbˈadʊs
Barbalha	bˌaɾəbˈaljæ
Barbosa	bˌaɾəbˈɔzæ
Barbuda	bˌaɾəbˈudæ
Barcarena	bˌaɾəkaɾˈenæ
Barcelona	bˌaɾəselˈonæ
Barcelos	bˌaɾəsˈɛlʊs
Bariri	bˌaɾiɾˈi
Barnabé	bˌaɾənabˈɛ
Barra	bˈaxæ
Barrabás	bˌaxabˈas
