$ paste ~/anti.a.txt ~/anti.b.txt | awk '{ print $1, $2, $4}'

antidemocracias	ˌɐ̃ntʃidˌemokɾasˈiʲɐs	ˌɐ̃ntʃidˌemokɾasˈiʲɐs
antidemocrata	ˌɐ̃ntʃidˌemokɾˈatɐ	ˌɐ̃ntʃidˌemokɾˈatɐ
antidemocratas	ˌɐ̃ntʃidˌemokɾˈatɐs	ˌɐ̃ntʃidˌemokɾˈatɐs
antidemocrática	ˌɐ̃ntʃidˌemokɾˈatʃikɐ	ˌɐ̃ntʃidˌemokɾˈatʃikɐ
antidemocraticamente	ˌɐ̃ntʃidˌemokɾˌatʃikɐmˈeɪntʃɪ	ˌɐ̃ntʃidˌemokɾˌatʃikɐmˈeɪntʃɪ
antidemocráticas	ˌɐ̃ntʃidˌemokɾˈatʃikɐs	ˌɐ̃ntʃidˌemokɾˈatʃikɐs
antidemocrático	ˌɐ̃ntʃidˌemokɾˈatʃikʊ	ˌɐ̃ntʃidˌemokɾˈatʃikʊ
antidemocráticos	ˌɐ̃ntʃidˌemokɾˈatʃikʊs	ˌɐ̃ntʃidˌemokɾˈatʃikʊs
antidepressiva	ˌɐ̃ntʃidˌepɾesˈivɐ	ˌɐ̃ntʃidˌepɾesˈivɐ
antidepressivas	ˌɐ̃ntʃidˌepɾesˈivɐs	ˌɐ̃ntʃidˌepɾesˈivɐs
antidepressivo	ˌɐ̃ntʃidˌepɾesˈivʊ	ˌɐ̃ntʃidˌepɾesˈivʊ
antidepressivos	ˌɐ̃ntʃidˌepɾesˈivʊs	ˌɐ̃ntʃidˌepɾesˈivʊs
antiderrapante	ˌɐ̃ntʃidˌexapˈɐ̃ntʃɪ	ˌɐ̃ntʃidˌexapˈɐ̃ntʃɪ
antiderrapantes	ˌɐ̃ntʃidˌexapˈɐ̃ntʃɪs	ˌɐ̃ntʃidˌexapˈɐ̃ntʃɪs
antideslizante	ˌɐ̃ntʃidˌezlizˈɐ̃ntʃɪ	ˌɐ̃ntʃidˌezlizˈɐ̃ntʃɪ
antideslizantes	ˌɐ̃ntʃidˌezlizˈɐ̃ntʃɪs	ˌɐ̃ntʃidˌezlizˈɐ̃ntʃɪs
antidesportiva	ˌɐ̃ntʃidˌespoɾtʃˈivɐ	ˌɐ̃ntʃidˌespoɾtʃˈivɐ
antidesportivamente	ˌɐ̃ntʃidˌespoɾtʃivɐmˈeɪntʃɪ	ˌɐ̃ntʃidˌespoɾtʃivɐmˈeɪntʃɪ
antidesportivas	ˌɐ̃ntʃidˌespoɾtʃˈivɐs	ˌɐ̃ntʃidˌespoɾtʃˈivɐs
antidesportivismo	ˌɐ̃ntʃidˌespoɾtʃivˈizmʊ	ˌɐ̃ntʃidˌespoɾtʃivˈizmʊ
antidesportivismos	ˌɐ̃ntʃidˌespoɾtʃivˈizmʊs	ˌɐ̃ntʃidˌespoɾtʃivˈizmʊs
antidesportivo	ˌɐ̃ntʃidˌespoɾtʃˈivʊ	ˌɐ̃ntʃidˌespoɾtʃˈivʊ
antidesportivos	ˌɐ̃ntʃidˌespoɾtʃˈivʊs	ˌɐ̃ntʃidˌespoɾtʃˈivʊs
antidetonante	ˌɐ̃ntʃidˌetonˈɐ̃ntʃɪ	ˌɐ̃ntʃidˌetonˈɐ̃ntʃɪ
antidetonantes	ˌɐ̃ntʃidˌetonˈɐ̃ntʃɪs	ˌɐ̃ntʃidˌetonˈɐ̃ntʃɪs
antidiabético	ˌɐ̃ntʃidʒˌiʲabˈɛtʃikʊ	ˌɐ̃ntʃidʒˌiʲabˈɛtʃikʊ
antidiarreico	ˌɐ̃ntʃidʒˌiʲaxˈeɪkʊ	ˌɐ̃ntʃidʒˌiʲaxˈeɪkʊ
antidiftérico	ˌɐ̃ntʃidʒiftˈɛɾikʊ	ˌɐ̃ntʃidʒˌiftˈɛɾikʊ
antidigestivo	ˌɐ̃ntʃidʒˌiʒestʃˈivʊ	ˌɐ̃ntʃidʒˌiʒestʃˈivʊ
antidogmática	ˌɐ̃ntʃidoɡmˈatʃikɐ	ˌɐ̃ntʃidˌoɡmˈatʃikɐ
antidogmáticas	ˌɐ̃ntʃidoɡmˈatʃikɐs	ˌɐ̃ntʃidˌoɡmˈatʃikɐs
antidogmático	ˌɐ̃ntʃidoɡmˈatʃikʊ	ˌɐ̃ntʃidˌoɡmˈatʃikʊ
antidogmáticos	ˌɐ̃ntʃidoɡmˈatʃikʊs	ˌɐ̃ntʃidˌoɡmˈatʃikʊs
antidogmatismo	ˌɐ̃ntʃidˌoɡmatʃˈizmʊ	ˌɐ̃ntʃidˌoɡmatʃˈizmʊ
antidogmatismos	ˌɐ̃ntʃidˌoɡmatʃˈizmʊs	ˌɐ̃ntʃidˌoɡmatʃˈizmʊs
antidoping	ˌɐ̃ntʃidˈɔpim	ˌɐ̃ntʃidˈɔpim
antidramática	ˌɐ̃ntʃidɾɐmˈatʃikɐ	ˌɐ̃ntʃidɾˌɐmˈatʃikɐ
