
//
// Conversão de ortografia em transcrição fonética, baseada em divisão silábica e expressão regular.
//
// Este é um exemplo de TSV que contém exatamente quatro campos, F1 a F4.
//
// F1: expressão regular da sílaba anterior
// F2: expressão regular da sílaba atual
// F3: expressão regular da sílaba posterior
// F4: a tradução da sílaba atual usando caracteres Kirshenbaum (influencia do espeak-ng), que serão no final ser convertidos em caracteres IPA ou SAMPA.
//
// Todo texto numa lina após duas barras é considerado um comentário e é, portanto, ignorado.
//
// Recomenda-se que os parágrafos tenham larguras equivalentes a 8 espaços.
//
// Se o F1 for "%", verifica se a sílaba atual é pós-tônica
// Se o F3 for "%", verifica se a sílaba atual é pré-tônica
//
// Se o F1 for "_", verifica se a sílaba atual é início de palavra
// Se o F3 for "_", verifica se a sílaba atual é fim de palavra
//
// Stress symbol `'` should be placed in the beginning of the syllable, not in the middle of the it (close to the vowel).
//
//
// Este arquivo inclui os ditongos crescentes pós-tônicos finais como: bac.té.ria, ci.ên.cia e á.guia, característicos da fala rápida. Nesses casos, evitar usar I ou U, por exemplo, em bac.té.ria, usar [4i6] em vez de [4I6], para causar dar uma sensação de hiato. No entanto, pode ser necessário atualizar as vozes mbrola.
//
// References:
//* https://pt.wiktionary.org/wiki/Ajuda:Guia_de_pron%C3%BAncia/Portugu%C3%AAs
//

%	cil	_	siU	// fá.cil, di.fí.cíl, dó.cil

	cin		si~
	cin	_	'si~

%	cio	_	siU	// ar.mis.tí.cio

	cir		si4
	cir	_	'si4
	cir	^r	si

	cír		'si4

	cis		sis
	cis	_	'sis
	cis	^s	si

	cís		'sis

	cla		kla
	cla	_	kl6

_	clã	_	kl6~	// clã

	clan		kl6~	// clan.des.ti.no

	clas		klas
	clas	_	kl6s
	clas	^s	kla

	clás		'klas
	clás	^s	'kla

	clau		klaU	// cláu.su.la

	cláu		'klaU	// clau.su.ra

	claus		klaU	// cláus.tro

	cle		kle
	cle	_	klI

	clé		'klE	// clé.ri.go, e.clé.ti.co

	clep		klep	// clep.to.ma.ni.a

	cli		kli
	cli	_	'kli

	clí		'kli	// clí.ni.co, de.clí.ni.o

	clip		klip	// e.clíp.se
	clíp		'klip	// e.clíp.ti.co

	clis		klis
	clis	_	'klis

fi	cit	_	sit	// dé.fi.cit

	clo		klo
	clo	_	klU

	clu		klu

	clui		kluI

	co		ko
	co	_	kU

	có		'kO

	cós		'kOs

	cô		'ko

	cóc		'kOk	// cóc.cix

	cog		kog	// cog.no.me

	cóg		'kOg	// cóg.ni.to

	ço		so
	ço	_	sU

	ções	_	'so~Is

	coi		koI

	çoi		soI

	coin		koI~

	çoin		soI~

	col		koU
	col	_	'kOU

	com		ko~
	com	_	'ko~

	con		ko~
	con	_	'ko~

	côn		'ko~

	cons		ko~s
	cons	_	'ko~s

	cor		ko4
	cor	_	'ko4
	cor	^r	ko

	cór		'kO4
	cór	^r	'kO

	cos		kos
	cos	_	kUs
	cos	^s	ko

	ços		sos
	ços	_	'sUs

	cou		koU

	çou		soU

	cra		k4a
	cra	_	k46

	crá		'k4a

	cras		'k4as
	cras	^s	'k4a

	crar	_	'k4a4	// lu.crar, mas.sa.crar

	cre		k4e
	cre	_	k4I

	crei		k4eI
	crei	_	'k4eI

	cren		k4e~
	cren	_	'k4e~

	cres		k4es
	cres	_	k4Is
	cres	^s	k4e

	crés		'k4Es

	cri		k4i
	cri	_	'k4i

	crí		'k4i

	crim	_	'k4i~	// a.le.crim

	cris		k4is
	cris	_	'k4is
	cris	^s	k4i

	cro		k4o
	cro	_	k4U

	cró		'k4O	// mi.cró.bio

	crô		'k4o	// crô.ni.ca

	cros		k4os
	cros	_	k4Us
	cros	^s	k4o

	cru		k4u	// pers.cru.tar
	cru	_	'k4u

	crú		'k4u	// es.crú.pu.lo

	crus		k4us	// crus.tá.ce.o
	crus	_	'k4us

_	cruz	_	'k4us	// cruz

	cu		ku
	cu	_	'ku

	cú		'ku

	çu		su
	çu	_	'su

	çú		'su

	cui		kuI

	cul		kuU

	cum		ku~	// cum.prir
	cum	_	'ku~

	cúm		'ku~	// cúm.pli.ce

	cun		ku~
	cun	_	'ku~

	cún		'ku~	// fa.cún.di.a

	cuns		ku~s
	cuns	_	'ku~s

	cur		ku4
	cur	_	'ku4
	cur	^r	ku

	cus		kus
	cus	_	'kus
	cus	^s	ku

	cús		'kus

	da		da
	da	_	d6

	dá		'da

	dai		daI

	dais		daIs

	dal		daU
	dal	_	'daU

	dál		'daU

	dam		d6~
	dam	_	d6~U

	dan		d6~
	dan	_	'd6~

	dân		'd6~

	dão		'd6~U	// cidadão
%	dão	_	d6~U	// acórdão

	dãos		'd6~Us	// cidadãos
%	dãos	_	d6~Us	// acórdãos

	dap		dap

	dar		da4
	dar	_	'da4
	dar	^r	da

	das		das
	das	_	d6s
	das	^s	da
_	das	_^V	d6z	// <das a.mi.gas> -> [dəz a.'mi.gəs]

	dás		'das
	dás	^s	'da

	daz		das
	daz	_	'das

	de		de
	de	_	dZI

	dé		'dE

	dê		'de

	dei		deI
	dei	_	'deI

	deis		'deIs

	del		deU
	del	_	'dEU

	dem		de~
	dem	_	de~I	// an.dem

	dém	_	'de~I	// des.dém

	den		de~
%	den	_	de~I	// é.den

	dên		'de~

%	deo	_	diU	// a.na.tí.deo

	dep		dep

	der		de4
	der	_	'de4
	der	^r	de

	des		des
	des	_	dZIs
	des	^s	de
	des	^S	dez	// des.de, mes.mo

	dês		'des
	dês	^s	'de

	deu		deU

	deus		deUs

	dez	_	'des
_	dez	_	'dEs

	di		dZi
	di	_	'dZi

	dí		'dZi

%	dia	_	dZi6	// co.mé.dia

	dic		dik	// dic.ção

	dig		dig	// in.dig.nar

	díg		'dig	// in.díg.no

	dim		dZi~

	din		dZi~

	dir		dZi4
	dir	_	'dZi4
	dir	^r	dZi

	dis		dZis
	dis	_	'dZis
	dis	^s	dZi

	dís		'dZis
	dís	^s	'dZi

%	dio	_	dZiU	// as.sé.dio

	diu		'dZiU

	do		do
	do	_	dU

	dó		'dO

	dô		'do

%	doa	_	du6

	dões	_	'do~Is

	dog		dog

	doi		doI

	dói		dOI

	dois		doIs

	dóis		dOIs

	dom		do~
	dom	_	'do~

	don		do~
	don	_	'do~	// ron.don

	dor		do4
	dor	_	'do4
	dor	^r	do

	dos		dos
	dos	_	dUs
	dos	^s	do

	dou		doU

	dra		d4a
	dra	_	d46

	drá		'd4a

	drás		'd4as

	dral	_	'd4aU	// ca.te.dral

	drão	_	'd4a~U	// es.qua.drão

	drar		d4a4
	drar	_	'd4a4

	dras		d4as
	dras	_	d46s
	dras	^s	d4a

	dre		d4e
	dre	_	d4I

	drei		d4eI	// pe.drei.ro, ci.drei.ra
	drei	a_	d4EI	// An.drei.a

	dri		d4i
	dri	_	'd4i

	dro		d4o
	dro	_	d4U

	drom		d4o~
	drom	_	'd4o~

	dron		d4o~
	dron	_	'd4o~

	dros		d4os
	dros	_	d4Us

	dru		d4u
	dru	_	'd4u

	du		du
	du	_	'du

	dú		'du

	duc		duk	// duc.to

	dúc		'duk	// dúc.til

	dul		dul
	dul	_	'dul

	dúl		'dul	// a.dúl.te.ro

	dum		du~
	dum	_	'du~

	dun		du~
	dun	_	'du~

%	duo	_	duU	// ár.duo, as.sí.duo

	dus		dus
	dus	_	'dus

	dús		'dus	// in.dús.tri.a

	e		e
	e	_	I

	é		'E

	ê		'e

	ei		eI

	eis		eIs

	el		eU
	el	_	eU
	el	^.*_	EU

	em		e~	// em.bo.ra
	em	_	e~I
_	em	_	e~I	// em (prep.)

	en		e~

	ên		'e~

	er		e4
	er	_	'e4
	er	^r	e

	es		es
	es	_	Is

	és		'Es

	et		et

	eu		eU

	eur	^r	eU	// eur.rit.mi.a

	ex		es	// TODO: eks, es
	ex	_	Eks
	ex	^c[ei]	e
	ex	^s	e

	êx		'es	// êx.ta.se

	fa		fa
	fa	_	a6

	fá		'fa

	fã		f6~

	fac		fak	// fac.ção

	fai		faI

	fais		faIs

	fal		faU

	fam		f6~
	fam	_	f6~U

	fan		f6~	// fan.tás.ti.co

	fân		'f6~	// al.fân.de.ga

	fão	_	f6~U	// bu.fão

	far		fa4
	far	_	'fa4
	far	^r	fa

	fas		fas
	fas	_	f6s
	fas	^s	fa

	fás		'fas
	fás	^s	'fa

	fau		faU	// fau.na

	fe		fe
	fe	_	fI

	fé		'fE

	fê		'fe

	fec		fek

	fei		feI
