$ paste ~/mini.a.txt ~/mini.b.txt | awk '{ print $1, $2, $4}'

miniatura	mˌiniʲatˈuɾɐ	mˌiniʲˌatˈuɾɐ
minimizar	mˌinimizˈaɾ	mˌinimizˈaɾ
minimizara	mˌinimizˈaɾɐ	mˌinimˌizˈaɾɐ
minimizará	mˌinimˌizaɾˈa	mˌinimˌizaɾˈa
minimizaram	mˌinimizˈaɾɐ̃ʊ̃	mˌinimˌizˈaɾɐ̃ʊ̃
minimizáramos	mˌinimizˈaɾɐmʊs	mˌinimˌizˈaɾɐmʊs
minimizarão	mˌinimˌizaɾˈɐ̃ʊ̃	mˌinimˌizaɾˈɐ̃ʊ̃
minimizaras	mˌinimizˈaɾɐs	mˌinimˌizˈaɾɐs
minimizarás	mˌinimˌizaɾˈas	mˌinimˌizaɾˈas
minimizardes	mˌinimizˈaɾdʒɪs	mˌinimˌizˈaɾdʒɪs
minimizarei	mˌinimˌizaɾˈeɪ	mˌinimˌizaɾˈeɪ
minimizareis	mˌinimˌizaɾˈeɪs	mˌinimˌizaɾˈeɪs
minimizáreis	mˌinimizˈaɾeɪs	mˌinimˌizˈaɾeɪs
minimizarem	mˌinimizˈaɾeɪm	mˌinimˌizˈaɾeɪm
minimizaremo	mˌinimˌizaɾˈemʊ	mˌinimˌizaɾˈemʊ
minimizaremos	mˌinimˌizaɾˈemʊs	mˌinimˌizaɾˈemʊs
minimizares	mˌinimizˈaɾɪs	mˌinimˌizˈaɾɪs
minimizaria	mˌinimˌizaɾˈiʲɐ	mˌinimˌizaɾˈiʲɐ
minimizariam	mˌinimˌizaɾˈiʲɐ̃ʊ̃	mˌinimˌizaɾˈiʲɐ̃ʊ̃
minimizaríamos	mˌinimˌizaɾˈiʲɐmʊs	mˌinimˌizaɾˈiʲɐmʊs
minimizarias	mˌinimˌizaɾˈiʲɐs	mˌinimˌizaɾˈiʲɐs
minimizaríeis	mˌinimˌizaɾˈiʲeɪs	mˌinimˌizaɾˈiʲeɪs
minimizarmo	mˌinimizˈaɾmʊ	mˌinimˌizˈaɾmʊ
minimizarmos	mˌinimizˈaɾmʊs	mˌinimˌizˈaɾmʊs
minimizas	mˌinimˈizɐs	mˌinimˈizɐs
minimizasse	mˌinimizˈasɪ	mˌinimˌizˈasɪ
minimizásseis	mˌinimizˈaseɪs	mˌinimˌizˈaseɪs
minimizassem	mˌinimizˈaseɪm	mˌinimˌizˈaseɪm
minimizássemos	mˌinimizˈasemʊs	mˌinimˌizˈasemʊs
minimizasses	mˌinimizˈasɪs	mˌinimˌizˈasɪs
minimizaste	mˌinimizˈastʃɪ	mˌinimˌizˈastʃɪ
minimizastes	mˌinimizˈastʃɪs	mˌinimˌizˈastʃɪs
minimizava	mˌinimizˈavɐ	mˌinimˌizˈavɐ
minimizavam	mˌinimizˈavɐ̃ʊ̃	mˌinimˌizˈavɐ̃ʊ̃
minimizávamos	mˌinimizˈavɐmʊs	mˌinimˌizˈavɐmʊs
minimizavas	mˌinimizˈavɐs	mˌinimˌizˈavɐs
minimizáveis	mˌinimizˈaveɪs	mˌinimˌizˈaveɪs
minimize	mˌinimˈizɪ	mˌinimˈizɪ
minimizei	mˌinimizˈeɪ	mˌinimizˈeɪ
minimizeis	mˌinimizˈeɪs	mˌinimizˈeɪs
minimizem	mˌinimˈizeɪm	mˌinimˈizeɪm
minimizemo	mˌinimizˈemʊ	mˌinimˌizˈemʊ
minimizemos	mˌinimizˈemʊs	mˌinimˌizˈemʊs
minimizes	mˌinimˈizɪs	mˌinimˈizɪs
minimizo	mˌinimˈizʊ	mˌinimˈizʊ
minimizou	mˌinimizˈoʊ	mˌinimizˈoʊ
minisaio	mˌinizˈaɪʲʊ	mˌinizˈaɪʲʊ
minisaios	mˌinizˈaɪʲʊs	mˌinizˈaɪʲʊs
minissaia	mˌinisˈaɪʲɐ	mˌinisˈaɪʲɐ
minissaias	mˌinisˈaɪʲɐs	mˌinisˈaɪʲɐs
ministeriais	mˌinistˌeɾiʲˈaɪs	mˌinistˌeɾiʲˈaɪs
ministerial	mˌinistˌeɾiʲˈaʊ	mˌinistˌeɾiʲˈaʊ
ministerialismo	mˌinistˌeɾiʲalˈizmʊ	mˌinistˌeɾiʲalˈizmʊ
ministerialismos	mˌinistˌeɾiʲalˈizmʊs	mˌinistˌeɾiʲalˈizmʊs
ministerialista	mˌinistˌeɾiʲalˈistɐ	mˌinistˌeɾiʲalˈistɐ
ministerialistas	mˌinistˌeɾiʲalˈistɐs	mˌinistˌeɾiʲalˈistɐs
ministeriável	mˌinistˌeɾiʲˈaveʊ	mˌinistˌeɾiʲˈaveʊ
ministério	mˌinistˈɛɾjʊ	mˌinistˈɛɾjʊ
ministérios	mˌinistˈɛɾjʊs	mˌinistˈɛɾjʊs
ministra	mˌinˈistɾɐ	mˌinˈistɾɐ
ministrá	mˌinistɾˈa	mˌinistɾˈa
ministração	mˌinistɾasˈɐ̃ʊ̃	mˌinistɾasˈɐ̃ʊ̃
ministrações	mˌinistɾasˈõɪ̃s	mˌinistɾasˈõɪ̃s
ministrada	mˌinistɾˈadɐ	mˌinistɾˈadɐ
ministradas	mˌinistɾˈadɐs	mˌinistɾˈadɐs
ministrado	mˌinistɾˈadʊ	mˌinistɾˈadʊ
ministrador	mˌinistɾadˈoɾ	mˌinistɾadˈoɾ
ministradora	mˌinistɾadˈoɾɐ	mˌinistɾˌadˈoɾɐ
ministradoras	mˌinistɾadˈoɾɐs	mˌinistɾˌadˈoɾɐs
